lowerIncisor_50Hz_X,lowerIncisor_50Hz_Y,lowerIncisor_50Hz_Z,lowerJawAnt_50Hz_X,lowerJawAnt_50Hz_Y,lowerJawAnt_50Hz_Z,LowerRtCanine_50Hz_X,LowerRtCanine_50Hz_Y,LowerRtCanine_50Hz_Z,LowerLeftJaw_50Hz_X,LowerLeftJaw_50Hz_Y,LowerLeftJaw_50Hz_Z,LowerLeftMolar_50Hz_X,LowerLeftMolar_50Hz_Y,LowerLeftMolar_50Hz_Z,SkullIncisor_50Hz_X,SkullIncisor_50Hz_Y,SkullIncisor_50Hz_Z,SkullLeftNasal_50Hz_X,SkullLeftNasal_50Hz_Y,SkullLeftNasal_50Hz_Z,SkullRtNasal_50Hz_X,SkullRtNasal_50Hz_Y,SkullRtNasal_50Hz_Z,SkullLeftCanine_50Hz_X,SkullLeftCanine_50Hz_Y,SkullLeftCanine_50Hz_Z,SkullRtCanine_50Hz_X,SkullRtCanine_50Hz_Y,SkullRtCanine_50Hz_Z
9.82439447286,9.49561945429,6.56369809092,10.608099171,10.4320564842,8.30970053007,10.3500316103,9.43357763198,10.5661748595,14.3380745241,9.55089189653,10.765278881,13.3778338815,8.58891953196,10.4541877787,10.3351308395,7.85651049968,5.4641682572,10.9418276149,5.24151865158,8.96706924484,9.50040831717,5.92120732873,10.0148287868,13.2551940217,7.6857373372,10.4404572595,10.1738942663,8.8024989856,11.3909585579
9.81735088082,9.52112077688,6.54357733369,10.600048707,10.4535955786,8.28847185304,10.3332042721,9.45836467796,10.5447716921,14.3117379294,9.55971644249,10.7486887826,13.3623837482,8.60828043678,10.4294674763,10.3130950049,7.83366865389,5.4584420569,10.9095200233,5.22562782494,8.97585278692,9.49137669081,5.90085705661,10.0216766453,13.2472062508,7.65616005733,10.441354101,10.1559194628,8.78915130985,11.3970264652
9.80682305722,9.54955161266,6.52342400941,10.5952421744,10.4752798226,8.26680464419,10.3225717535,9.48063481264,10.523499884,14.2934720311,9.56806158453,10.7288500702,13.3452063324,8.62206406518,10.4080292872,10.2864213815,7.80932685848,5.45701715077,10.8799453005,5.20736516262,8.9839800606,9.47697457858,5.88220729641,10.0299293781,13.2343604449,7.63133484719,10.4419685119,10.1411859336,8.77379306073,11.399396624
9.79206573371,9.58202802389,6.50367497385,10.59222822,10.4984461081,8.24579135411,10.3175189753,9.50078830273,10.5029092211,14.2858919263,9.57669477673,10.7055144637,13.3271288707,8.6323309276,10.389310566,10.2565349813,7.78271157696,5.45975729744,10.8559588699,5.18590279495,8.99030511916,9.45744015804,5.86475605025,10.0387054475,13.2151804677,7.61276805285,10.4405021166,10.1286735157,8.75722724483,11.3982232888
9.77554389777,9.62037945734,6.48459104057,10.5863689024,10.5266776936,8.22724519461,10.3119895391,9.52366524547,10.4831005013,14.2846190366,9.58830783624,10.6813100776,13.3111292386,8.64689182721,10.3686710394,10.2289470682,7.75360674471,5.46340870233,10.8367251633,5.16266064283,8.99442406248,9.4363926678,5.84610557687,10.0457724873,13.1919174806,7.59697645211,10.4352660386,10.1149204953,8.74091621322,11.3964221883
9.76143347777,9.66982701272,6.46547460746,10.5759668122,10.5657173988,8.21160573476,10.3021537192,9.55611997008,10.4631415439,14.2824457335,9.60686427004,10.6589425982,13.2997176896,8.67156328764,10.3419991213,10.2056806066,7.72220284538,5.46594031714,10.8166747172,5.13982850353,8.99766729285,9.41478397447,5.82444286266,10.0506268647,13.1678563629,7.57784857414,10.4279318198,10.0986567511,8.72385132702,11.395831041
9.75358605176,9.73692116017,6.44513754441,10.5658556581,10.6212785753,8.19749634854,10.2908657417,9.60243625461,10.4421762728,14.2757247299,9.63593578878,10.639080168,13.2928829044,8.70732778789,10.310709218,10.1821964324,7.68852865249,5.46768242962,10.79114307,5.11733592949,9.00222526267,9.38992151317,5.80018135132,10.0558187161,13.144380776,7.55187834065,10.423341001,10.08135911,8.70365572894,11.3959399865
9.75335698749,9.82441124793,6.42332108596,10.5642983727,10.694847251,8.18343352608,10.2842822404,9.66211953981,10.4205226994,14.2666010106,9.67677650731,10.6206799801,13.2884885124,8.75338208132,10.2808243888,10.1531707898,7.65148605694,5.46938068632,10.7608365587,5.09221105086,9.00958782842,9.36029240013,5.77478876974,10.0646668505,13.1209513995,7.52111043217,10.424600678,10.0638924707,8.67977011046,11.3961338191
9.75889093085,9.92976807278,6.40122892169,10.5759115574,10.7823910207,8.1693106858,10.2856956856,9.73222851379,10.3989430333,14.2597289939,9.7279055306,10.6025547455,13.2850209417,8.80956853286,10.256547631,10.1188854015,7.6094981232,5.47177342012,10.7292806717,5.06171869261,9.01985750042,9.32897798537,5.74823021928,10.0778988845,13.0974199274,7.49056640892,10.4294024678,10.0449054702,8.6536723293,11.3976509757
9.76760607542,10.0487929491,6.38027611072,10.5969890699,10.8790659014,8.15619783587,10.2935024914,9.81077819321,10.3776149042,14.2583420588,9.78685776233,10.5847217822,13.2835771718,8.87583155062,10.2359993777,10.0835925932,7.56311676771,5.47673279855,10.6988715749,5.02618471016,9.03229359407,9.30120913256,5.71894810684,10.0932120669,13.074914541,7.46267421609,10.4327507439,10.0230016091,8.62659375317,11.4023471719
9.77969125875,10.178135337,6.36073344959,10.6182600112,10.9837713792,8.14542392198,10.3034460537,9.89713069451,10.3567120719,14.2629816468,9.85187024055,10.568975841,13.2859585145,8.95090322451,10.2143852933,10.0497419381,7.51607832815,5.48602957419,10.6706387297,4.98849817156,9.0464490061,9.27929220868,5.68712321938,10.1081276797,13.053850432,7.43489575956,10.4326201281,9.99927190233,8.59868437405,11.4098003738
9.79732079308,10.3121135261,6.3427041795,10.6331788075,11.0955889299,8.13823350777,10.3111027606,9.98895543231,10.337611542,14.2715874774,9.92059231037,10.5580461958,13.2909109634,9.03063522053,10.1907313892,10.0171302926,7.47354528468,5.49836828549,10.6450703431,4.95274529713,9.06207200717,9.26066633423,5.65691145133,10.1222001547,13.0326049079,7.40445812573,10.4314944432,9.97705943982,8.57100967968,11.4169264224
9.81861682924,10.4375905765,6.32876315161,10.6422552575,11.2050921912,8.13603106217,10.3135811806,10.0780031882,10.323164372,14.2797943174,9.98659684464,10.5534838638,13.2939932095,9.10577339521,10.1702489283,9.98694686096,7.44155494616,5.50965763158,10.6221084538,4.92457927728,9.07724411569,9.24097298562,5.63508798577,10.1358203255,13.0099765383,7.37563402213,10.4328757505,9.95949608148,8.54834560508,11.421468688
9.83381788462,10.5342787235,6.32441665929,10.6478258931,11.2921999152,8.14039361274,10.3108076715,10.1492716108,10.3173408252,14.282438999,10.0385098114,10.5546090576,13.291963954,9.16248972708,10.1601594919,9.96355514224,7.42873588326,5.51685676437,10.6018903804,4.91173931512,9.0879249857,9.21906932376,5.62870403875,10.1478952954,12.9884808953,7.35993637255,10.4377490154,9.94760747153,8.53929535038,11.4250102546
9.83080459783,10.5823399821,6.33476272117,10.6471423549,11.3356757253,8.15251993136,10.3043331408,10.1872214807,10.3246374371,14.2766074643,10.0645954933,10.5604383373,13.2857771706,9.18852775534,10.1644903129,9.95122464584,7.44470240156,5.52024987789,10.5853244447,4.92201496567,9.09110805861,9.19920967927,5.64363521921,10.1559786963,12.9734517411,7.36763481287,10.4444158743,9.94085165782,8.55181881452,11.4309091552
